suburb,year,type,price
Ainslie,2007,Single residential dwelling...,"$544,000"
Ainslie,2007,–,"$540,000"
Ainslie,2007,Single residential dwelling,"$540,000"
Ainslie,2007,Multiple unit dwelling,"$535,000"
Ainslie,2007,Single residential dwelling,"$530,000"
Ainslie,2007,Single residential dwelling,"$526,000"
Ainslie,2007,Single residential dwelling,"$525,000"
Ainslie,2007,Single residential dwelling,"$520,000"
Ainslie,2007,Single residential dwelling,"$520,000"
Ainslie,2007,Single residential dwelling,"$520,000"
Ainslie,2007,Single residential dwelling,"$520,000"
Ainslie,2007,Single residential dwelling,"$510,000"
Ainslie,2007,Single residential dwelling,"$505,000"
Ainslie,2007,Single residential dwelling,"$498,000"
Ainslie,2007,Single residential dwelling,"$497,000"
Ainslie,2007,Single residential dwelling,"$495,000"
Ainslie,2007,Single residential dwelling...,"$492,500"
Ainslie,2007,Single residential dwelling,"$490,000"
Ainslie,2007,–,"$485,000"
Ainslie,2007,Single residential dwelling,"$480,000"
Ainslie,2007,Single residential dwelling,"$479,000"
Ainslie,2007,Single residential dwelling,"$472,000"
Ainslie,2007,Single residential dwelling...,"$466,000"
Ainslie,2007,Single residential dwelling,"$460,000"
Ainslie,2007,Single residential dwelling...,"$452,000"
Ainslie,2007,Multiple unit dwelling,"$449,000"
Ainslie,2007,Single residential dwelling,"$440,000"
Ainslie,2007,Multiple unit dwelling,"$439,000"
Ainslie,2007,Single residential dwelling...,"$427,000"
Ainslie,2007,Single residential dwelling,"$420,000"
Ainslie,2007,Single residential dwelling,"$420,000"
Ainslie,2007,Single residential dwelling,"$415,000"
Ainslie,2007,Single residential dwelling...,"$410,000"
Ainslie,2007,Single residential dwelling...,"$410,000"
Ainslie,2007,Single residential dwelling,"$400,000"
Ainslie,2007,Single residential dwelling...,"$393,000"
Ainslie,2007,Self care units for aged pe...,"$365,000"
Ainslie,2007,Single residential dwelling...,"$350,000"
Ainslie,2007,Single residential dwelling,"$250,000"
Ainslie,2007,Single residential dwelling,"$230,000"
Ainslie,2007,Single residential dwelling...,"$170,000"
Ainslie,2007,Multiple unit dwelling,"$79,500"
Ainslie,2007,Single residential dwelling,$0
Ainslie,2007,Single residential dwelling,$0
Ainslie,2007,Single residential dwelling...,$0
Ainslie,2007,Single residential dwelling,$0
Ainslie,2007,Single residential dwelling,$0
Ainslie,2007,Multiple unit dwelling,$0
Ainslie,2007,Single residential dwelling,$0
Ainslie,2007,Single residential dwelling,$0
Ainslie,2007,Single residential dwelling,$0
Ainslie,2007,Single residential dwelling,$0
Ainslie,2007,Single residential dwelling,$0
Ainslie,2007,Multiple unit dwelling,$0
Ainslie,2007,Single residential dwelling,$0
Ainslie,2007,Multiple unit dwelling,$0
Ainslie,2007,Single residential dwelling,$0
Ainslie,2007,Single residential dwelling,$0
Ainslie,2007,Single residential dwelling,$0
Ainslie,2007,Commercial accommodation es...,$0
Ainslie,2007,Single residential dwelling,$0
Ainslie,2007,Single residential dwelling,$0
Ainslie,2007,Self care units for aged pe...,$0
Ainslie,2007,Single residential dwelling,–
Ainslie,2007,Single residential dwelling,–
Ainslie,2007,Single residential dwelling,–
Ainslie,2007,Multiple unit dwelling,–
Ainslie,2007,Single residential dwelling,–
Ainslie,2007,–,–
Ainslie,2007,Single residential dwelling...,–
Ainslie,2007,Multiple unit dwelling,–
Ainslie,2007,Single residential dwelling,–
Ainslie,2007,Single residential dwelling,–
Ainslie,2007,Multiple unit dwelling,–
Ainslie,2007,Single residential dwelling,–
Ainslie,2007,Single residential dwelling,–
Ainslie,2020,Single residential dwelling,"$2,450,000"
Ainslie,2020,Single residential dwelling,"$1,955,000"
Ainslie,2020,Single residential dwelling,"$1,925,000"
Ainslie,2020,–,"$1,862,500"
Ainslie,2020,Single residential dwelling...,"$1,825,000"
Ainslie,2020,Single residential dwelling,"$1,810,000"
Ainslie,2020,Single residential dwelling,"$1,740,000"
Ainslie,2020,Single residential dwelling,"$1,700,000"
Ainslie,2020,Single residential dwelling,"$1,628,000"
Ainslie,2020,Single residential dwelling,"$1,575,000"
Ainslie,2020,Single residential dwelling,"$1,550,000"
Ainslie,2020,Single residential dwelling...,"$1,525,000"
Ainslie,2020,Single residential dwelling,"$1,500,000"
Ainslie,2020,Single residential dwelling,"$1,500,000"
Ainslie,2020,–,"$1,489,000"
Ainslie,2020,Single residential dwelling,"$1,450,000"
Ainslie,2020,Multiple unit dwelling,"$1,400,000"
Ainslie,2020,Single residential dwelling,"$1,365,000"
Ainslie,2020,–,"$1,320,000"
Ainslie,2020,Multiple unit dwelling,"$1,317,000"
Ainslie,2020,Single residential dwelling,"$1,310,000"
Ainslie,2020,–,"$1,310,000"
Ainslie,2020,Single residential dwelling,"$1,300,000"
Ainslie,2020,–,"$1,300,000"
Ainslie,2020,Single residential dwelling,"$1,290,000"
Ainslie,2020,–,"$1,280,000"
Ainslie,2020,–,"$1,280,000"
Ainslie,2020,Single residential dwelling,"$1,262,000"
Ainslie,2020,Single residential dwelling...,"$1,241,000"
Ainslie,2020,Single residential dwelling...,"$1,230,000"
Ainslie,2020,Single residential dwelling,"$1,225,000"
Ainslie,2020,Multiple unit dwelling,"$1,220,000"
Ainslie,2020,–,"$1,220,000"
Ainslie,2020,Single residential dwelling,"$1,200,000"
Ainslie,2020,Single residential dwelling...,"$1,190,000"
Ainslie,2020,Single residential dwelling,"$1,190,000"
Ainslie,2020,Single residential dwelling...,"$1,150,000"
Ainslie,2020,Single residential dwelling,"$1,100,000"
Ainslie,2020,Single residential dwelling,"$1,100,000"
Ainslie,2020,Single residential dwelling,"$1,100,000"
Ainslie,2020,Single residential dwelling...,"$1,090,000"
Ainslie,2020,Single residential dwelling,"$1,083,000"
Ainslie,2020,–,"$1,050,000"
Ainslie,2020,Single residential dwelling,"$1,050,000"
Ainslie,2020,Single residential dwelling,"$1,038,888"
Ainslie,2020,–,"$1,025,000"
Ainslie,2020,Single residential dwelling,"$1,010,000"
Ainslie,2020,Multiple unit dwelling,"$1,000,000"
Ainslie,2020,Single residential dwelling,"$997,000"
Ainslie,2020,–,"$989,151"
Ainslie,2020,Single residential dwelling,"$980,000"
Ainslie,2020,Single residential dwelling,"$972,500"
Ainslie,2020,–,"$963,400"
Ainslie,2020,Single residential dwelling,"$900,000"
Ainslie,2020,Single residential dwelling,"$890,000"
Ainslie,2020,Single residential dwelling,"$840,000"
Ainslie,2020,Single residential dwelling,"$777,000"
Ainslie,2020,Single residential dwelling,"$750,000"
Ainslie,2020,Multiple unit dwelling,"$740,000"
Ainslie,2020,Multiple unit dwelling,"$740,000"
Ainslie,2020,Multiple unit dwelling,"$740,000"
Ainslie,2020,Single residential dwelling,"$740,000"
Ainslie,2020,Single residential dwelling,"$699,000"
Ainslie,2020,–,"$699,000"
Ainslie,2020,Single residential dwelling,"$675,000"
Ainslie,2020,Multiple unit dwelling,"$673,000"
Ainslie,2020,Single residential dwelling,$0
Ainslie,2020,Single residential dwelling,$0
Ainslie,2020,Single residential dwelling,$0
Ainslie,2020,Single residential dwelling,$0
Ainslie,2020,Multiple unit dwelling,$0
Ainslie,2020,Single residential dwelling,$0
Amaroo,2007,Single residential dwelling,"$821,000"
Amaroo,2007,Single residential dwelling,"$800,000"
Amaroo,2007,Single residential dwelling,"$755,000"
Amaroo,2007,Single residential dwelling,"$710,000"
Amaroo,2007,Single residential dwelling,"$700,000"
Amaroo,2007,Single residential dwelling,"$680,000"
Amaroo,2007,Single residential dwelling,"$655,000"
Amaroo,2007,Single residential dwelling,"$641,000"
Amaroo,2007,Single residential dwelling,"$623,000"
Amaroo,2007,–,"$602,000"
Amaroo,2007,Single residential dwelling,"$595,000"
Amaroo,2007,Single residential dwelling,"$595,000"
Amaroo,2007,–,"$586,000"
Amaroo,2007,Single residential dwelling,"$583,000"
Amaroo,2007,–,"$555,000"
Amaroo,2007,Single residential dwelling,"$550,000"
Amaroo,2007,Single residential dwelling,"$550,000"
Amaroo,2007,Single residential dwelling,"$549,000"
Amaroo,2007,Single residential dwelling,"$547,000"
Amaroo,2007,Single residential dwelling,"$545,000"
Amaroo,2007,Single residential dwelling,"$543,000"
Amaroo,2007,Single residential dwelling,"$528,000"
Amaroo,2007,Single residential dwelling,"$525,000"
Amaroo,2007,Single residential dwelling,"$524,888"
Amaroo,2007,Single residential dwelling,"$520,000"
Amaroo,2007,Single residential dwelling,"$505,000"
Amaroo,2007,Single residential dwelling,"$505,000"
Amaroo,2007,Single residential dwelling,"$505,000"
Amaroo,2007,–,"$500,000"
Amaroo,2007,Single residential dwelling,"$500,000"
Amaroo,2007,Single residential dwelling,"$495,000"
Amaroo,2007,Single residential dwelling,"$495,000"
Amaroo,2007,Single residential dwelling,"$485,000"
Amaroo,2007,Single residential dwelling,"$485,000"
Amaroo,2007,Single residential dwelling,"$480,000"
Amaroo,2007,Single residential dwelling,"$480,000"
Amaroo,2007,Multiple unit dwelling,"$480,000"
Amaroo,2007,Single residential dwelling,"$477,500"
Amaroo,2007,Single residential dwelling,"$475,000"
Amaroo,2007,Single residential dwelling,"$472,500"
Amaroo,2007,–,"$472,000"
Amaroo,2007,Single residential dwelling,"$470,000"
Amaroo,2007,Single residential dwelling,"$470,000"
Amaroo,2007,–,"$470,000"
Amaroo,2007,Single residential dwelling,"$468,000"
Amaroo,2007,Single residential dwelling,"$465,000"
Amaroo,2007,Single residential dwelling,"$465,000"
Amaroo,2007,Single residential dwelling,"$458,000"
Amaroo,2007,–,"$451,500"
Amaroo,2007,Single residential dwelling,"$451,000"
Amaroo,2007,Single residential dwelling,"$450,000"
Amaroo,2007,Single residential dwelling,"$445,000"
Amaroo,2007,Single residential dwelling,"$445,000"
Amaroo,2007,Single residential dwelling,"$440,000"
Amaroo,2007,Single residential dwelling,"$440,000"
Amaroo,2007,Single residential dwelling,"$439,000"
Amaroo,2007,Single residential dwelling,"$432,000"
Amaroo,2007,Single residential dwelling,"$430,000"
Amaroo,2007,Single residential dwelling,"$429,950"
Amaroo,2007,Single residential dwelling,"$427,000"
Amaroo,2007,Single residential dwelling,"$427,000"
Amaroo,2007,Single residential dwelling,"$426,000"
Amaroo,2007,Single residential dwelling,"$425,000"
Amaroo,2007,Single residential dwelling,"$425,000"
Amaroo,2007,Multiple unit dwelling,"$425,000"
Amaroo,2007,Cottage block,"$422,000"
Amaroo,2007,Multiple unit dwelling,"$420,000"
Amaroo,2007,Single residential dwelling,"$420,000"
Amaroo,2007,Single residential dwelling,"$420,000"
Amaroo,2007,Single residential dwelling,"$420,000"
Amaroo,2007,Single residential dwelling,"$420,000"
Amaroo,2007,Single residential dwelling,"$417,000"
Amaroo,2007,Single residential dwelling,"$415,000"
Amaroo,2007,Single residential dwelling,"$415,000"
Amaroo,2007,Single residential dwelling,"$415,000"
Amaroo,2007,Multiple unit dwelling,"$414,000"
Amaroo,2007,–,"$413,000"
Amaroo,2007,Single residential dwelling,"$412,500"
Amaroo,2007,Single residential dwelling,"$410,000"
Amaroo,2007,Single residential dwelling,"$410,000"
Amaroo,2007,Single residential dwelling,"$410,000"
Amaroo,2007,Single residential dwelling,"$410,000"
Amaroo,2007,Single residential dwelling,"$409,000"
Amaroo,2007,Single residential dwelling,"$400,000"
Amaroo,2007,Cottage block,"$400,000"
Amaroo,2007,Single residential dwelling,"$400,000"
Amaroo,2007,Multiple unit dwelling,"$397,500"
Amaroo,2007,Single residential dwelling,"$397,500"
Amaroo,2007,Single residential dwelling,"$397,000"
Amaroo,2007,Single residential dwelling,"$396,000"
Amaroo,2007,Multiple unit dwelling,"$395,000"
Amaroo,2007,Multiple unit dwelling,"$395,000"
Amaroo,2007,Single residential dwelling,"$395,000"
Amaroo,2007,Multiple unit dwelling,"$391,000"
Amaroo,2007,Single residential dwelling,"$389,000"
Amaroo,2007,Multiple unit dwelling,"$385,000"
Amaroo,2007,–,"$385,000"
Amaroo,2007,Multiple unit dwelling,"$383,000"
Amaroo,2007,Single residential dwelling,"$383,000"
Amaroo,2007,Cottage block,"$383,000"
Amaroo,2007,Courtyard block,"$380,000"
Amaroo,2007,Single residential dwelling,"$380,000"
Amaroo,2007,Single residential dwelling,"$380,000"
Amaroo,2007,Single residential dwelling,"$380,000"
Amaroo,2007,Single residential dwelling,"$379,000"
Amaroo,2007,Cottage block,"$378,000"
Amaroo,2007,Courtyard block,"$375,000"
Amaroo,2007,Single residential dwelling,"$375,000"
Amaroo,2007,Multiple unit dwelling,"$372,500"
Amaroo,2007,Single residential dwelling,"$368,000"
Amaroo,2007,Multiple unit dwelling,"$365,000"
Amaroo,2007,–,"$365,000"
Amaroo,2007,Single residential dwelling,"$365,000"
Amaroo,2007,Multiple unit dwelling,"$365,000"
Amaroo,2007,Single residential dwelling,"$360,000"
Amaroo,2007,Single residential dwelling,"$360,000"
Amaroo,2007,Courtyard block,"$357,000"
Amaroo,2007,–,"$357,000"
Amaroo,2007,Multiple unit dwelling,"$355,000"
Amaroo,2007,Single residential dwelling,"$355,000"
Amaroo,2007,Town house block,"$352,000"
Amaroo,2007,Town house block,"$351,000"
Amaroo,2007,Courtyard block,"$350,000"
Amaroo,2007,Single residential dwelling,"$350,000"
Amaroo,2007,Single residential dwelling,"$350,000"
Amaroo,2007,Multiple unit dwelling,"$348,100"
Amaroo,2007,–,"$347,500"
Amaroo,2007,Multiple unit dwelling,"$345,000"
Amaroo,2007,Town house block,"$342,000"
Amaroo,2007,Courtyard block,"$340,000"
Amaroo,2007,Town house block,"$340,000"
Amaroo,2007,Single residential dwelling,"$336,000"
Amaroo,2007,Multiple unit dwelling,"$330,000"
Amaroo,2007,Cottage block,"$330,000"
Amaroo,2007,Multiple unit dwelling,"$326,000"
Amaroo,2007,Multiple unit dwelling,"$320,000"
Amaroo,2007,Multiple unit dwelling,"$320,000"
Amaroo,2007,Courtyard block,"$314,000"
Amaroo,2007,Multiple unit dwelling,"$310,000"
Amaroo,2007,Town house block,"$305,000"
Amaroo,2007,–,"$288,000"
Amaroo,2007,Single residential dwelling,"$275,000"
Amaroo,2007,–,"$275,000"
Amaroo,2007,Multiple unit dwelling,"$265,000"
Amaroo,2007,Single residential dwelling,"$195,000"
Amaroo,2007,Courtyard block,"$182,500"
Amaroo,2007,Multiple unit dwelling,"$170,000"
Amaroo,2007,Multiple unit dwelling,"$72,000"
Amaroo,2007,Single residential dwelling,$0
Amaroo,2007,Single residential dwelling,$0
Amaroo,2007,Single residential dwelling,$0
Amaroo,2007,Single residential dwelling,$0
Amaroo,2007,Single residential dwelling,$0
Amaroo,2007,Multiple unit dwelling,$0
Amaroo,2007,Single residential dwelling,$0
Amaroo,2007,Courtyard block,$0
Amaroo,2007,Single residential dwelling,$0
Amaroo,2007,Single residential dwelling,$0
Amaroo,2007,Multiple unit dwelling,$0
Amaroo,2007,Single residential dwelling,–
Amaroo,2007,Single residential dwelling,–
Amaroo,2007,–,–
Amaroo,2007,Single residential dwelling,–
Amaroo,2007,Cottage block,–
Amaroo,2007,–,–
Amaroo,2007,–,–
Amaroo,2007,–,–
Amaroo,2020,Single residential dwelling,"$1,150,000"
Amaroo,2020,–,"$1,025,000"
Amaroo,2020,Single residential dwelling,"$990,000"
Amaroo,2020,Single residential dwelling,"$906,500"
Amaroo,2020,Single residential dwelling,"$900,000"
Amaroo,2020,Single residential dwelling,"$895,000"
Amaroo,2020,Single residential dwelling,"$885,000"
Amaroo,2020,Single residential dwelling,"$885,000"
Amaroo,2020,Single residential dwelling,"$880,000"
Amaroo,2020,–,"$880,000"
Amaroo,2020,Single residential dwelling...,"$870,000"
Amaroo,2020,Single residential dwelling,"$860,000"
Amaroo,2020,Single residential dwelling,"$859,000"
Amaroo,2020,Single residential dwelling,"$840,000"
Amaroo,2020,Single residential dwelling,"$837,000"
Amaroo,2020,–,"$827,000"
Amaroo,2020,–,"$805,000"
Amaroo,2020,–,"$805,000"
Amaroo,2020,Single residential dwelling,"$802,600"
Amaroo,2020,Single residential dwelling,"$801,000"
Amaroo,2020,Single residential dwelling,"$800,000"
Amaroo,2020,Single residential dwelling,"$800,000"
Amaroo,2020,Single residential dwelling,"$800,000"
Amaroo,2020,Single residential dwelling,"$800,000"
Amaroo,2020,Single residential dwelling,"$800,000"
Amaroo,2020,Single residential dwelling,"$785,000"
Amaroo,2020,Single residential dwelling,"$785,000"
Amaroo,2020,Cottage block,"$770,000"
Amaroo,2020,Single residential dwelling,"$770,000"
Amaroo,2020,Single residential dwelling,"$765,000"
Amaroo,2020,Single residential dwelling,"$762,000"
Amaroo,2020,Single residential dwelling,"$760,000"
Amaroo,2020,Single residential dwelling,"$753,000"
Amaroo,2020,Single residential dwelling,"$752,000"
Amaroo,2020,–,"$750,000"
Amaroo,2020,Single residential dwelling...,"$750,000"
Amaroo,2020,Cottage block,"$745,000"
Amaroo,2020,Cottage block,"$745,000"
Amaroo,2020,Single residential dwelling,"$737,500"
Amaroo,2020,Single residential dwelling,"$735,000"
Amaroo,2020,Single residential dwelling,"$735,000"
Amaroo,2020,–,"$735,000"
Amaroo,2020,Single residential dwelling,"$733,000"
Amaroo,2020,Single residential dwelling,"$730,000"
Amaroo,2020,Single residential dwelling,"$701,500"
Amaroo,2020,Single residential dwelling,"$700,000"
Amaroo,2020,Single residential dwelling,"$700,000"
Amaroo,2020,Single residential dwelling,"$700,000"
Amaroo,2020,–,"$695,000"
Amaroo,2020,Single residential dwelling...,"$695,000"
Amaroo,2020,Single residential dwelling,"$691,000"
Amaroo,2020,–,"$691,000"
Amaroo,2020,Single residential dwelling,"$687,000"
Amaroo,2020,Single residential dwelling,"$685,000"
Amaroo,2020,–,"$675,000"
Amaroo,2020,Single residential dwelling,"$670,000"
Amaroo,2020,Courtyard block,"$660,000"
Amaroo,2020,Single residential dwelling,"$655,751"
Amaroo,2020,Single residential dwelling,"$650,000"
Amaroo,2020,–,"$649,000"
Amaroo,2020,Single residential dwelling,"$645,000"
Amaroo,2020,Single residential dwelling,"$645,000"
Amaroo,2020,Cottage block,"$640,000"
Amaroo,2020,Single residential dwelling,"$635,000"
Amaroo,2020,Multiple unit dwelling,"$633,000"
Amaroo,2020,–,"$631,000"
Amaroo,2020,–,"$620,000"
Amaroo,2020,Single residential dwelling,"$620,000"
Amaroo,2020,Multiple unit dwelling,"$615,000"
Amaroo,2020,–,"$610,000"
Amaroo,2020,Cottage block,"$605,000"
Amaroo,2020,–,"$600,000"
Amaroo,2020,Multiple unit dwelling,"$600,000"
Amaroo,2020,Cottage block,"$600,000"
Amaroo,2020,Multiple unit dwelling,"$596,000"
Amaroo,2020,Multiple unit dwelling,"$593,000"
Amaroo,2020,Cottage block,"$591,000"
Amaroo,2020,Courtyard block,"$580,000"
Amaroo,2020,Single residential dwelling,"$575,000"
Amaroo,2020,Multiple unit dwelling,"$571,500"
Amaroo,2020,Courtyard block,"$570,000"
Amaroo,2020,Multiple unit dwelling,"$570,000"
Amaroo,2020,Courtyard block,"$556,000"
Amaroo,2020,Multiple unit dwelling,"$555,000"
Amaroo,2020,–,"$550,000"
Amaroo,2020,Courtyard block,"$550,000"
Amaroo,2020,Multiple unit dwelling,"$550,000"
Amaroo,2020,–,"$545,000"
Amaroo,2020,Multiple unit dwelling,"$545,000"
Amaroo,2020,Multiple unit dwelling,"$545,000"
Amaroo,2020,Cottage block,"$530,000"
Amaroo,2020,Single residential dwelling,"$529,522"
Amaroo,2020,Multiple unit dwelling,"$520,000"
Amaroo,2020,–,"$475,000"
Amaroo,2020,Multiple unit dwelling,"$450,000"
Amaroo,2020,Multiple unit dwelling,"$435,000"
Amaroo,2020,–,"$425,000"
Amaroo,2020,–,"$425,000"
Amaroo,2020,Multiple unit dwelling,"$425,000"
Amaroo,2020,Multiple unit dwelling,"$425,000"
Amaroo,2020,Multiple unit dwelling,"$345,000"
Amaroo,2020,Single residential dwelling,"$213,333"
Amaroo,2020,Single residential dwelling,$0
Amaroo,2020,Single residential dwelling,$0
Amaroo,2020,Single residential dwelling,$0
Amaroo,2020,Single residential dwelling,$0
Amaroo,2020,Multiple unit dwelling,$0
Amaroo,2020,Multiple unit dwelling,$0
Aranda,2007,–,"$800,000"
Aranda,2007,Single residential dwelling,"$785,000"
Aranda,2007,Single residential dwelling,"$770,000"
Aranda,2007,Single residential dwelling,"$750,000"
Aranda,2007,Single residential dwelling,"$750,000"
Aranda,2007,Single residential dwelling,"$720,000"
Aranda,2007,Single residential dwelling,"$710,000"
Aranda,2007,Single residential dwelling,"$690,000"
Aranda,2007,Single residential dwelling,"$680,000"
Aranda,2007,Single residential dwelling,"$670,000"
Aranda,2007,Single residential dwelling,"$655,000"
Aranda,2007,Single residential dwelling,"$648,000"
Aranda,2007,Single residential dwelling,"$630,000"
Aranda,2007,Single residential dwelling,"$625,000"
Aranda,2007,Single residential dwelling,"$625,000"
Aranda,2007,Single residential dwelling,"$593,000"
Aranda,2007,Single residential dwelling,"$591,000"
Aranda,2007,Single residential dwelling,"$590,000"
Aranda,2007,–,"$575,000"
Aranda,2007,Single residential dwelling,"$575,000"
Aranda,2007,Single residential dwelling,"$575,000"
Aranda,2007,Single residential dwelling,"$567,500"
Aranda,2007,Single residential dwelling,"$549,000"
Aranda,2007,Single residential dwelling,"$540,000"
Aranda,2007,Single residential dwelling,"$534,000"
Aranda,2007,Single residential dwelling,"$525,000"
Aranda,2007,Single residential dwelling,"$520,000"
Aranda,2007,Single residential dwelling,"$500,500"
Aranda,2007,–,"$488,000"
Aranda,2007,Single residential dwelling,"$485,000"
Aranda,2007,Single residential dwelling,"$485,000"
Aranda,2007,Single residential dwelling,"$471,000"
Aranda,2007,Single residential dwelling,"$470,000"
Aranda,2007,Single residential dwelling,"$460,000"
Aranda,2007,Single residential dwelling,"$452,000"
Aranda,2007,Single residential dwelling,"$448,000"
Aranda,2007,Single residential dwelling,"$445,000"
Aranda,2007,Single residential dwelling,"$432,500"
Aranda,2007,Single residential dwelling...,"$430,000"
Aranda,2007,Single residential dwelling,"$425,000"
Aranda,2007,Single residential dwelling,"$421,000"
Aranda,2007,Single residential dwelling,"$410,000"
Aranda,2007,Single residential dwelling,"$403,000"
Aranda,2007,Multiple unit dwelling,"$360,000"
Aranda,2007,Multiple unit dwelling,"$325,000"
Aranda,2007,Single residential dwelling,"$310,000"
Aranda,2007,–,"$304,000"
Aranda,2007,Multiple unit dwelling,"$304,000"
Aranda,2007,Multiple unit dwelling,"$265,000"
Aranda,2007,Single residential dwelling,"$116,667"
Aranda,2007,Single residential dwelling,"$108,500"
Aranda,2007,Single residential dwelling,"$51,000"
Aranda,2007,Single residential dwelling,$0
Aranda,2007,Single residential dwelling,$0
Aranda,2007,Single residential dwelling,$0
Aranda,2007,Single residential dwelling,$0
Aranda,2007,Single residential dwelling,$0
Aranda,2007,Single residential dwelling,$0
Aranda,2007,Single residential dwelling,$0
Aranda,2007,Single residential dwelling,$0
Aranda,2007,Single residential dwelling,$0
Aranda,2007,Single residential dwelling,–
Aranda,2007,Single residential dwelling,–
Aranda,2007,Single residential dwelling,–
Aranda,2007,–,–
Aranda,2020,Single residential dwelling,"$1,600,000"
Aranda,2020,–,"$1,495,000"
Aranda,2020,–,"$1,400,000"
Aranda,2020,Single residential dwelling,"$1,321,000"
Aranda,2020,Single residential dwelling,"$1,250,000"
Aranda,2020,Single residential dwelling,"$1,160,000"
Aranda,2020,Single residential dwelling,"$1,150,000"
Aranda,2020,Single residential dwelling,"$1,130,000"
Aranda,2020,Single residential dwelling,"$1,125,800"
Aranda,2020,Multiple unit dwelling,"$1,085,000"
Aranda,2020,Single residential dwelling,"$1,050,000"
Aranda,2020,–,"$1,018,000"
Aranda,2020,Multiple unit dwelling,"$997,000"
Aranda,2020,Multiple unit dwelling,"$985,000"
Aranda,2020,Single residential dwelling,"$950,000"
Aranda,2020,Single residential dwelling,"$950,000"
Aranda,2020,Multiple unit dwelling,"$945,000"
Aranda,2020,Single residential dwelling,"$935,000"
Aranda,2020,Single residential dwelling,"$928,000"
Aranda,2020,–,"$900,000"
Aranda,2020,Single residential dwelling,"$890,000"
Aranda,2020,Single residential dwelling,"$890,000"
Aranda,2020,Single residential dwelling,"$885,000"
Aranda,2020,Single residential dwelling,"$855,000"
Aranda,2020,Single residential dwelling,"$850,000"
Aranda,2020,–,"$835,000"
Aranda,2020,Single residential dwelling,"$820,000"
Aranda,2020,Multiple unit dwelling,"$815,000"
Aranda,2020,Multiple unit dwelling,"$811,500"
Aranda,2020,Multiple unit dwelling,"$777,000"
Aranda,2020,–,"$750,000"
Aranda,2020,Single residential dwelling,"$710,000"
Aranda,2020,Multiple unit dwelling,"$575,000"
Aranda,2020,Multiple unit dwelling,"$495,000"
Aranda,2020,Multiple unit dwelling,"$425,000"
Aranda,2020,Single residential dwelling,"$400,000"
Aranda,2020,Multiple unit dwelling,"$390,000"
Aranda,2020,Single residential dwelling,"$380,000"
Aranda,2020,Single residential dwelling,$0
Aranda,2020,Single residential dwelling,$0
Aranda,2020,Single residential dwelling,$0
Aranda,2020,Single residential dwelling,$0
Aranda,2020,Single residential dwelling,$0
Aranda,2020,Multiple unit dwelling,$0
Aranda,2020,Single residential dwelling,$0
Banks,2007,Single residential dwelling,"$745,600"
Banks,2007,Single residential dwelling,"$708,600"
Banks,2007,Single residential dwelling,"$706,100"
Banks,2007,Single residential dwelling,"$700,000"
Banks,2007,Single residential dwelling,"$700,000"
Banks,2007,–,"$700,000"
Banks,2007,Single residential dwelling,"$695,500"
Banks,2007,Single residential dwelling,"$680,000"
Banks,2007,Single residential dwelling,"$680,000"
Banks,2007,Single residential dwelling,"$650,000"
Banks,2007,Single residential dwelling,"$627,500"
Banks,2007,Single residential dwelling,"$620,000"
Banks,2007,Single residential dwelling,"$619,000"
