suburb,year,type,price
Ainslie,2007,Commercial accommodation es...,"$2,300,000"
Ainslie,2007,Multi unit development (res...,"$1,900,000"
Ainslie,2007,Single residential dwelling,"$1,225,000"
Ainslie,2007,Single residential dwelling...,"$1,000,000"
Ainslie,2007,Single residential dwelling,"$940,000"
Ainslie,2007,Single residential dwelling,"$850,000"
Ainslie,2007,Single residential dwelling,"$825,000"
Ainslie,2007,Single residential dwelling,"$815,000"
Ainslie,2007,Single residential dwelling...,"$791,000"
Ainslie,2007,Single residential dwelling,"$770,000"
Ainslie,2007,Single residential dwelling,"$750,000"
Ainslie,2007,Single residential dwelling...,"$745,000"
Ainslie,2007,Single residential dwelling,"$733,000"
Ainslie,2007,Single residential dwelling,"$720,000"
Ainslie,2007,Single residential dwelling,"$720,000"
Ainslie,2007,Single residential dwelling...,"$677,000"
Ainslie,2007,Single residential dwelling,"$676,000"
Ainslie,2007,–,"$674,000"
Ainslie,2007,Single residential dwelling,"$672,000"
Ainslie,2007,Single residential dwelling,"$660,000"
Ainslie,2007,Multiple unit dwelling,"$651,000"
Ainslie,2007,Single residential dwelling,"$650,000"
Ainslie,2007,Single residential dwelling,"$635,000"
Ainslie,2007,Single residential dwelling,"$630,000"
Ainslie,2007,Multiple unit dwelling,"$600,000"
Ainslie,2007,–,"$600,000"
Ainslie,2007,Single residential dwelling,"$590,000"
Ainslie,2007,Single residential dwelling,"$585,000"
Ainslie,2007,Single residential dwelling,"$582,000"
Ainslie,2007,Single residential dwelling,"$572,500"
Ainslie,2007,Single residential dwelling,"$572,000"
Ainslie,2007,Single residential dwelling...,"$570,000"
Ainslie,2007,Multiple unit dwelling,"$570,000"
Ainslie,2007,Single residential dwelling,"$567,500"
Ainslie,2007,Single residential dwelling...,"$567,500"
Ainslie,2007,Single residential dwelling,"$565,000"
Ainslie,2007,Single residential dwelling,"$557,500"
Ainslie,2007,Single residential dwelling,"$555,000"
Ainslie,2007,Single residential dwelling...,"$550,000"
Ainslie,2007,Single residential dwelling,"$550,000"
Ainslie,2007,Single residential dwelling...,"$550,000"
Ainslie,2007,Single residential dwelling,"$547,500"
