suburb,state,household_income,population_2006,population_2016,house_price_2007,house_price_2020,population_growth,house_price_growth
Gowrie,ACT,2228,3226,3056,396000.0,666500.0,-0.052696838189708606,0.6830808080808082
Greenleigh,NSW,2843,695,684,622000.0,1075500.0,-0.015827338129496438,0.7290996784565917
Greenway,ACT,1686,1130,1894,490000.0,750000.0,0.6761061946902656,0.5306122448979591
Griffith,ACT,2155,3905,4575,870000.0,1510000.0,0.17157490396927022,0.735632183908046
Gungahlin,ACT,2066,3857,6134,453500.0,736000.0,0.5903551983406792,0.6229327453142226
Hackett,ACT,2134,2881,2991,517000.0,900000.0,0.038181187087816815,0.7408123791102514
Hall,ACT,2055,338,271,739000.0,1087500.0,-0.19822485207100593,0.4715832205683357
Harrison,ACT,2270,304,7687,475000.0,749000.0,24.286184210526315,0.5768421052631578
Hawker,ACT,2028,2826,2952,638500.0,940000.0,0.04458598726114649,0.4722004698512139
Higgins,ACT,1737,3025,3073,365000.0,615000.0,0.015867768595041243,0.6849315068493151
Holder,ACT,2039,2609,2606,417000.0,760000.0,-0.001149865848984244,0.8225419664268585
Hughes,ACT,2274,2898,2990,599500.0,964000.0,0.031746031746031855,0.6080066722268558
Isaacs,ACT,2232,2424,2341,760000.0,1070000.0,-0.0342409240924092,0.4078947368421053
Isabella Plains,ACT,1841,4317,4405,385000.0,642500.0,0.02038452629140597,0.6688311688311688
Jerrabomberra,NSW,2820,8747,9508,481250.0,782500.0,0.08700125757402533,0.6259740259740261
Kaleen,ACT,2077,7586,7271,432750.0,785000.0,-0.04152385974162931,0.8139803581744656
Kambah,ACT,1916,15579,14900,405000.0,650000.0,-0.04358431221516146,0.6049382716049383
Karabar,NSW,1692,8680,8247,365000.0,570000.0,-0.04988479262672807,0.5616438356164384
Kingston,ACT,2328,2450,4424,596000.0,1117500.0,0.8057142857142856,0.875
Latham,ACT,1859,3688,3634,360500.0,620000.0,-0.014642082429501047,0.7198335644937586
Lyneham,ACT,1708,4318,5112,534000.0,962500.0,0.18388142658638262,0.8024344569288389
Lyons,ACT,1488,2444,3085,490500.0,907000.0,0.26227495908346965,0.8491335372069317
Macarthur,ACT,2680,1582,1427,462500.0,670000.0,-0.09797724399494312,0.44864864864864873
Macquarie,ACT,1717,2385,2700,435000.0,765000.0,0.13207547169811318,0.7586206896551724
Mawson,ACT,1777,2861,3252,540000.0,890000.0,0.1366655015728766,0.6481481481481481
McKellar,ACT,2247,2604,2746,480000.0,810000.0,0.05453149001536106,0.6875
Melba,ACT,1952,3267,3147,400000.0,678000.0,-0.03673094582185488,0.6950000000000001
Monash,ACT,1978,5549,5431,422500.0,690000.0,-0.021265092809515274,0.6331360946745561
Narrabundah,ACT,2045,5528,5960,551250.0,1040000.0,0.07814761215629518,0.8866213151927438
Ngunnawal,ACT,1940,8939,10486,369000.0,600000.0,0.17306186374314803,0.6260162601626016
Nicholls,ACT,2684,6990,6865,600000.0,855000.0,-0.01788268955650929,0.42500000000000004
Oaks Estate,ACT,860,242,251,240000.0,586000.0,0.037190082644628086,1.4416666666666669
O'Connor,ACT,2129,4911,5481,571250.0,1150000.0,0.116065974343311,1.0131291028446388
O'Malley,ACT,3513,684,991,640000.0,1695000.0,0.44883040935672525,1.6484375
Oxley,ACT,2106,1788,1693,440000.0,670000.0,-0.053131991051454164,0.5227272727272727
Page,ACT,1514,2695,3025,371000.0,668000.0,0.12244897959183665,0.8005390835579516
Palmerston,ACT,2005,5711,5525,443000.0,780000.0,-0.03256872701803537,0.7607223476297968
Pearce,ACT,2030,2509,2579,545000.0,955000.0,0.027899561578317966,0.7522935779816513
Queanbeyan,NSW,1405,5335,6237,297750.0,431250.0,0.16907216494845367,0.4483627204030227
Red Hill,ACT,2842,3143,3170,970000.0,1600000.0,0.008590518612790365,0.6494845360824741
Reid,ACT,1503,1602,1636,960000.0,1870000.0,0.02122347066167296,0.9479166666666667
Richardson,ACT,1840,3232,3006,372000.0,620000.0,-0.06992574257425743,0.6666666666666667
Rivett,ACT,1807,3069,3193,395000.0,635000.0,0.04040404040404044,0.6075949367088607
Scullin,ACT,1632,2794,2929,374000.0,600000.0,0.048317823908375024,0.6042780748663101
Spence,ACT,1981,2596,2585,380000.0,650000.0,-0.004237288135593209,0.7105263157894737
Stirling,ACT,1963,2043,2134,471250.0,852500.0,0.04454233969652477,0.8090185676392574
Theodore,ACT,2123,4109,3799,403000.0,637000.0,-0.0754441469944025,0.5806451612903225
Torrens,ACT,2217,2265,2206,519500.0,851500.0,-0.026048565121412848,0.6390760346487008
Turner,ACT,1924,3010,4047,770000.0,1517500.0,0.34451827242524913,0.9707792207792207
Wanniassa,ACT,1961,7933,7512,400000.0,646000.0,-0.053069456699861295,0.615
Waramanga,ACT,1875,2535,2629,425000.0,710000.0,0.037080867850098675,0.6705882352941177
Watson,ACT,1962,4188,5862,440000.0,746790.0,0.3997134670487106,0.6972499999999999
Weetangera,ACT,2699,2544,2576,545500.0,1085500.0,0.012578616352201255,0.989917506874427
Weston,ACT,2096,3176,3576,465000.0,716000.0,0.12594458438287148,0.5397849462365591
Yarralumla,ACT,2579,2907,2890,897500.0,1500000.0,-0.005847953216374324,0.6713091922005572
