suburb,state,household_income,population_2006,population_2016,house_price_2007,house_price_2020,population_growth,house_price_growth
Ainslie,ACT,2027,4815,5189,545750.0,1200000.0,0.07767393561786085,1.1988089784699953
Amaroo,ACT,2456,5502,5710,440000.0,756500.0,0.037804434750999594,0.7193181818181817
Aranda,ACT,2414,2412,2393,537000.0,935000.0,-0.007877280265339959,0.7411545623836127
Banks,ACT,2148,4907,4967,448750.0,650000.0,0.012227430201752654,0.44846796657381605
Barton,ACT,2356,940,1439,825000.0,1860000.0,0.5308510638297872,1.2545454545454544
Bonner,ACT,2326,19,6730,189200.0,672000.0,353.2105263157895,2.551797040169133
Bonython,ACT,1967,3363,3786,406250.0,707500.0,0.12578055307760927,0.7415384615384615
Braddon,ACT,1969,3574,5500,562500.0,1160000.0,0.5388919977616116,1.0622222222222222
Bruce,ACT,1924,3387,6997,530000.0,930000.0,1.0658399763802775,0.7547169811320755
Calwell,ACT,2225,5929,5758,429500.0,675000.0,-0.02884128858154833,0.5715948777648427
Campbell,ACT,2384,4797,4997,720000.0,1320000.0,0.04169272461955398,0.8333333333333333
Chapman,ACT,2697,2692,2684,590000.0,1000000.0,-0.002971768202080227,0.6949152542372881
Charnwood,ACT,1486,3017,2979,315000.0,510000.0,-0.012595293337752778,0.6190476190476191
Chifley,ACT,1843,2325,2407,469000.0,812000.0,0.03526881720430097,0.7313432835820894
Chisholm,ACT,2028,5378,5121,382500.0,640500.0,-0.04778728151729272,0.6745098039215687
Conder,ACT,2226,5051,5059,447000.0,655000.0,0.0015838447832112745,0.46532438478747196
Cook,ACT,1954,2817,2805,440000.0,900000.0,-0.004259850905218299,1.0454545454545454
Curtin,ACT,2255,5133,5238,550000.0,987500.0,0.020455873758036258,0.7954545454545454
Deakin,ACT,2582,2606,2878,822500.0,1305000.0,0.10437452033768224,0.5866261398176291
Dickson,ACT,1735,1947,2149,500000.0,886000.0,0.1037493579866462,0.772
Downer,ACT,1868,3370,3662,460000.0,870000.0,0.08664688427299705,0.8913043478260869
Duffy,ACT,2125,2942,3162,440000.0,750000.0,0.07477906186267846,0.7045454545454546
Dunlop,ACT,2252,5851,7197,390000.0,645000.0,0.23004614595795592,0.6538461538461537
Evatt,ACT,2059,5497,5327,370000.0,660000.0,-0.030925959614335086,0.7837837837837838
Fadden,ACT,2757,3214,2949,525000.0,880000.0,-0.08245177349097699,0.6761904761904762
Farrer,ACT,2265,3360,3231,550000.0,900000.0,-0.03839285714285712,0.6363636363636365
Fisher,ACT,1929,2978,3004,437500.0,722000.0,0.008730691739422536,0.6502857142857144
Florey,ACT,1745,5105,4764,455000.0,783250.0,-0.0667972575905974,0.7214285714285715
Flynn,ACT,2271,3549,3360,410000.0,645000.0,-0.053254437869822535,0.5731707317073171
Forrest,ACT,3145,1191,1615,1850000.0,3010000.0,0.3560033585222502,0.6270270270270271
Fraser,ACT,2266,2156,2026,448000.0,733500.0,-0.06029684601113172,0.6372767857142858
Garran,ACT,2297,3175,3497,680500.0,1178000.0,0.10141732283464577,0.7310800881704629
Gilmore,ACT,2161,2905,2750,395000.0,599500.0,-0.05335628227194489,0.5177215189873419
Giralang,ACT,2027,3304,3316,389000.0,730500.0,0.00363196125907983,0.8778920308483291
Gordon,ACT,1990,7869,7611,433750.0,720000.0,-0.032786885245901676,0.659942363112392
