suburb,state,income,pop_before,pop_now
Ainslie,ACT,"$2,027","4,815","5,189"
Amaroo,ACT,"$2,456","5,502","5,710"
Aranda,ACT,"$2,414","2,412","2,393"
Banks,ACT,"$2,148","4,907","4,967"
Barton,ACT,"$2,356",940,"1,439"
Belconnen,ACT,"$1,587","3,057","6,657"
Bonner,ACT,"$2,326",19,"6,730"
Bonython,ACT,"$1,967","3,363","3,786"
Braddon,ACT,"$1,969","3,574","5,500"
Bruce,ACT,"$1,924","3,387","6,997"
Calwell,ACT,"$2,225","5,929","5,758"
Campbell,ACT,"$2,384","4,797","4,997"
Chapman,ACT,"$2,697","2,692","2,684"
Charnwood,ACT,"$1,486","3,017","2,979"
Chifley,ACT,"$1,843","2,325","2,407"
Chisholm,ACT,"$2,028","5,378","5,121"
City,ACT,"$2,222",723,"4,276"
Conder,ACT,"$2,226","5,051","5,059"
Cook,ACT,"$1,954","2,817","2,805"
Curtin,ACT,"$2,255","5,133","5,238"
Deakin,ACT,"$2,582","2,606","2,878"
Dickson,ACT,"$1,735","1,947","2,149"
Downer,ACT,"$1,868","3,370","3,662"
Duffy,ACT,"$2,125","2,942","3,162"
Dunlop,ACT,"$2,252","5,851","7,197"
Evatt,ACT,"$2,059","5,497","5,327"
Fadden,ACT,"$2,757","3,214","2,949"
Farrer,ACT,"$2,265","3,360","3,231"
Fisher,ACT,"$1,929","2,978","3,004"
Florey,ACT,"$1,745","5,105","4,764"
Flynn,ACT,"$2,271","3,549","3,360"
Forrest,ACT,"$3,145","1,191","1,615"
Fraser,ACT,"$2,266","2,156","2,026"
Fyshwick,ACT,"$2,249",54,56
Garran,ACT,"$2,297","3,175","3,497"
Gilmore,ACT,"$2,161","2,905","2,750"
Giralang,ACT,"$2,027","3,304","3,316"
Gordon,ACT,"$1,990","7,869","7,611"
Gowrie,ACT,"$2,228","3,226","3,056"
Greenleigh,NSW,"$2,843",695,684
Greenway,ACT,"$1,686","1,130","1,894"
Griffith,ACT,"$2,155","3,905","4,575"
Gungahlin,ACT,"$2,066","3,857","6,134"
Hackett,ACT,"$2,134","2,881","2,991"
Hall,ACT,"$2,055",338,271
Harrison,ACT,"$2,270",304,"7,687"
Hawker,ACT,"$2,028","2,826","2,952"
Higgins,ACT,"$1,737","3,025","3,073"
Holder,ACT,"$2,039","2,609","2,606"
Hughes,ACT,"$2,274","2,898","2,990"
Isaacs,ACT,"$2,232","2,424","2,341"
Isabella Plains,ACT,"$1,841","4,317","4,405"
Jerrabomberra,NSW,"$2,820","8,747","9,508"
Kaleen,ACT,"$2,077","7,586","7,271"
Kambah,ACT,"$1,916","15,579","14,900"
Karabar,NSW,"$1,692","8,680","8,247"
Kingston,ACT,"$2,328","2,450","4,424"
Latham,ACT,"$1,859","3,688","3,634"
Lyneham,ACT,"$1,708","4,318","5,112"
Lyons,ACT,"$1,488","2,444","3,085"
Macarthur,ACT,"$2,680","1,582","1,427"
Macquarie,ACT,"$1,717","2,385","2,700"
Mawson,ACT,"$1,777","2,861","3,252"
McKellar,ACT,"$2,247","2,604","2,746"
Melba,ACT,"$1,952","3,267","3,147"
Monash,ACT,"$1,978","5,549","5,431"
Narrabundah,ACT,"$2,045","5,528","5,960"
Ngunnawal,ACT,"$1,940","8,939","10,486"
Nicholls,ACT,"$2,684","6,990","6,865"
Oaks Estate,ACT,$860,242,251
O'Connor,ACT,"$2,129","4,911","5,481"
O'Malley,ACT,"$3,513",684,991
Oxley,ACT,"$2,106","1,788","1,693"
Page,ACT,"$1,514","2,695","3,025"
Palmerston,ACT,"$2,005","5,711","5,525"
Pearce,ACT,"$2,030","2,509","2,579"
Phillip,ACT,"$1,772","1,910","2,936"
Queanbeyan,NSW,"$1,405","5,335","6,237"
Red Hill,ACT,"$2,842","3,143","3,170"
Reid,ACT,"$1,503","1,602","1,636"
Richardson,ACT,"$1,840","3,232","3,006"
Rivett,ACT,"$1,807","3,069","3,193"
Scullin,ACT,"$1,632","2,794","2,929"
Spence,ACT,"$1,981","2,596","2,585"
Stirling,ACT,"$1,963","2,043","2,134"
Symonston,ACT,$796,470,559
Theodore,ACT,"$2,123","4,109","3,799"
Torrens,ACT,"$2,217","2,265","2,206"
Turner,ACT,"$1,924","3,010","4,047"
Wanniassa,ACT,"$1,961","7,933","7,512"
Waramanga,ACT,"$1,875","2,535","2,629"
Watson,ACT,"$1,962","4,188","5,862"
Weetangera,ACT,"$2,699","2,544","2,576"
Weston,ACT,"$2,096","3,176","3,576"
Yarralumla,ACT,"$2,579","2,907","2,890"
